"program","n_offers_pred","n_offers_actual","n_offers_phbao_pred","n_offers_phbao_actual","n_offers_white_pred","n_offers_white_actual","n_offers_asian_pred","n_offers_asian_actual","n_offers_low_score_school_pred","n_offers_low_score_school_actual","n_offers_high_score_school_pred","n_offers_high_score_school_actual","n_enr_pred","n_enr_actual","n_enr_phbao_pred","n_enr_phbao_actual","n_enr_white_pred","n_enr_white_actual","n_enr_asian_pred","n_enr_asian_actual","n_enr_low_score_school_pred","n_enr_low_score_school_actual","n_enr_high_score_school_pred","n_enr_high_score_school_actual"
21,377.493635200785,295,358.971481900974,293,18.5305044292447,2,15.5788673883415,5,75.0368789234429,47,302.465107406782,248,206.082471695007,271,204.807594187498,269,0.230040710606187,2,6.76310917842363,2,39.7718229936085,42,165.265811904503,229
22,316.870121162734,301,302.208093131985,301,13.8502799723644,0,19.4271281118701,1,95.3853736190613,110,220.672999485294,191,174.936992222363,273,173.871962822764,273,0.0869340645249229,0,10.2331321315793,1,60.0568337919209,104,113.902063095374,169
23,440.350679405772,431,235.34284144511,258,204.566243888742,173,30.4277991940871,50,31.5381964907564,18,408.370888843088,413,272.68267614115,393,153.337826350295,243,119.479288364282,150,21.7610777723427,46,17.0676915726846,16,255.74942314189,377
24,449.361210890508,372,416.49240897116,287,32.1124849274583,85,61.1234855826756,66,68.5870963737067,48,380.017797524918,324,237.949361874225,348,237.242389096307,268,0.995685833914323,80,39.4948736664603,63,33.7979623058152,48,204.440112624415,300
25,517.436342134406,384,488.758510866212,275,29.3092916924345,109,142.497127129512,152,32.0626726636666,8,486.005129894989,376,321.99655091875,333,317.125176645469,241,4.83994984111995,92,108.468021686977,139,11.1690903113657,5,310.796036175241,328
26,290.507505270636,209,258.798983272591,150,31.4707616980379,59,44.7826821296902,10,42.679909283048,58,247.589835687583,151,120.336529068136,183,119.784076951048,129,0.519048094469756,54,27.5206979515358,8,14.6927609507613,54,105.610364094759,129
27,207.715668978327,185,151.394179809613,162,56.0819564297946,23,15.408676723096,5,36.6354985587836,34,170.840637680623,151,95.4340671399956,163,78.8613535462494,147,16.3459001426766,16,8.71503320661939,5,18.7777765591896,32,76.4294771297362,131
28,191.785533519592,155,182.985052872241,155,8.82293523992795,0,6.57423083970782,0,60.8487851481691,64,130.959202964004,91,57.9900395739596,109,57.35978696011,109,0.00243476605628002,0,0.259673168478377,0,23.5264405211479,47,33.8357812050221,62
29,162.634740232165,87,157.132110923182,87,6.08575107573536,0,6.40666718812914,2,59.2461933933032,40,103.971668605619,47,47.3108975179611,57,47.6286715370203,57,0.0037257066997827,0,0.468780602162291,2,24.3028116753215,27,23.329585568403,30
30,849.515869745142,973,511.926417715421,608,337.123308016572,365,103.910622494881,126,43.4290655181727,12,805.620660213813,961,671.358110194085,935,420.260302266347,600,250.954528383255,335,91.8676199152762,125,30.1667895209077,12,641.048041128692,923
31,289.43918024769,257,254.238062901639,187,35.0789970925675,70,15.6108280035882,4,43.4798744344261,45,245.837185559783,212,130.066830261223,200,127.181355063608,151,2.5093311554754,49,6.93317890445961,1,18.78261115084,36,110.908075068248,164
32,186.797674292068,148,162.113578223217,135,23.791016540384,13,10.2065432979873,3,29.7424932267255,36,156.162101536877,112,57.9364826791561,124,57.2815538531927,117,0.824394878752151,7,2.80441451439299,2,8.3557545790031,30,49.7501941529436,94
33,161.07337330377,160,131.206301631548,156,30.7155723627818,4,7.92828463257676,3,33.2024636294319,53,128.719410364899,107,72.6812208543525,143,68.3274758932832,139,4.50661492480269,4,4.00495623570493,3,17.2506679771092,46,55.5834228409792,97
34,594.845326207667,467,446.942349630777,324,149.053381064567,143,46.313682622252,155,56.706790226245,7,539.288940469102,460,388.260438295882,432,314.597464411739,315,74.3519797569071,117,33.299822780874,148,35.2727340617521,6,353.676710106901,426
35,451.555437683885,386,155.348558219829,257,296.019955432191,129,22.3545185960068,32,26.1135492528736,2,425.254964399138,384,331.523559692239,352,113.560093595915,244,217.402448427751,108,18.4334005094038,29,16.59869131135,2,314.363850712303,350
36,532.078656820488,332,498.066572559756,258,34.5306098430591,74,43.436021956682,54,73.7750526792877,29,458.822129723535,303,301.766254566107,293,299.860325967538,228,1.17472639855738,65,27.2094856548014,52,39.4396316602881,27,261.595420705829,266
37,214.294244934775,121,202.882059933086,121,11.1840696665165,0,9.87177019289901,2,54.0996498179579,55,159.96647978165,66,76.192719136641,116,76.2486922441315,116,0.0144996983697064,0,2.23154737028843,2,21.4502892516862,54,54.8129026908186,62
38,442.988938991745,450,398.143717616258,378,46.7693145945836,72,31.1913083496031,27,108.353387863946,59,336.5596443469,391,250.595582676279,411,240.512084953252,342,11.8141157384382,69,19.0979909088596,24,65.8720077027583,52,186.454192988937,359
39,411.18275711458,653,369.831490772054,501,41.2031513152214,152,38.8272306014417,191,94.4506169941299,53,316.584025093153,600,358.310878911521,633,330.165666896667,490,27.9378667451675,143,35.6946048673736,188,84.081258173671,50,274.022275468171,583
40,12.4996854082167,19,12.0542738613886,14,0.493219201201023,5,1.08570911533537,6,2.32220991794564,1,10.2252831446441,18,12.3760694329113,17,11.9491008482086,13,0.473619634491218,4,1.08300139072452,6,2.28533616386138,1,10.1373843188386,16
